n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
64,lane4-avx-fma,0.090000000,0.075000000,16384,0,8.766667,10.391799926757812
64,lane4-avx2,0.079000000,0.076000000,16384,0,9.987342,10.391799926757812
64,lane4-avx2-fma,0.079000000,0.074000000,16384,0,9.987342,10.391799926757812
64,lane2-sse,0.115000000,0.113000000,16384,0,6.860870,10.391799926757812
64,ffmpeg-avtx,0.125000000,0.118000000,16384,0,6.312000,10.391799926757812
64,lane8-avx2-fma,0.095000000,0.092000000,16384,0,8.305263,10.391800880432129
64,hw-sse-auto,0.188000000,0.118000000,16384,0,4.196809,10.391799926757812
64,ffmpeg-sse,0.394000000,0.371000000,16384,0,2.002538,10.391799926757812
64,scaled-h16-hybrid,0.772000000,0.753000000,16384,0,1.022021,10.391799926757812
64,scaled-h16-paired-avx2,0.817000000,0.753000000,16384,0,0.965728,10.391799926757812
128,radix-2,1.813000000,1.798000000,16384,3216,1.000000,-9.0348949432373047
128,split-radix,1.920000000,1.906000000,16384,2824,0.944271,-9.0348949432373047
128,tangent,1.156000000,1.144000000,16384,2792,1.568339,-9.0348968505859375
128,tangent-x86-asm,0.240000000,0.236000000,16384,2792,7.554167,-9.0348949432373047
128,tangent-sse,0.529000000,0.507000000,16384,2792,3.427221,-9.0348968505859375
128,tangent-sse2,0.515000000,0.504000000,16384,2792,3.520388,-9.0348968505859375
128,tangent-sse3,0.527000000,0.505000000,16384,2792,3.440228,-9.0348968505859375
128,tangent-ssse3,0.512000000,0.505000000,16384,2792,3.541016,-9.0348968505859375
128,tangent-sse4.1,0.529000000,0.506000000,16384,2792,3.427221,-9.0348968505859375
128,tangent-sse4.2,0.528000000,0.505000000,16384,2792,3.433712,-9.0348968505859375
128,lane4-c,0.981000000,0.973000000,16384,0,1.848114,-9.0348949432373047
128,lane4-sse,0.256000000,0.249000000,16384,0,7.082031,-9.0348968505859375
128,lane4-sse2,0.250000000,0.241000000,16384,0,7.252000,-9.0348968505859375
128,lane4-sse3,0.251000000,0.241000000,16384,0,7.223108,-9.0348968505859375
128,lane4-ssse3,0.248000000,0.241000000,16384,0,7.310484,-9.0348968505859375
128,lane4-sse4.1,0.250000000,0.241000000,16384,0,7.252000,-9.0348968505859375
128,lane4-sse4.2,0.256000000,0.242000000,16384,0,7.082031,-9.0348968505859375
